field_id,latitude,longitude,yield_bushels_per_acre,soil_ph,organic_matter_percent,rainfall_inches,avg_temperature_f,year,ndvi
field_000,41.83482200629756,-91.61556608937505,164.90142459033697,6.211945357302524,2.4289750461585076,33.12901009130078,72.13349585884552,2023,0.6528907888380411
field_001,41.44421562094146,-92.49208872068442,145.85207096486445,7.015692220928738,4.2845318951524165,34.997176732861305,73.95206837687199,2023,0.5213595376145402
field_002,41.23973073466737,-92.26928834612092,169.43065614302077,5.528786977259512,3.854654189948783,34.966368370739055,70.11677442115666,2023,0.6841640543208577
field_003,41.675230342807254,-92.52244691854341,195.69089569224076,5.732145281013833,2.3033680283683706,30.554317056026274,70.32113485265316,2023,0.8654847559702338
field_004,42.88581940782504,-93.41427103660587,142.97539875829992,5.5920052840435055,2.2523204183449925,32.68987415180511,66.07172011339776,2023,0.5014968009501661
field_005,41.64640586404151,-91.83264365421549,142.9758912915246,5.58145760463794,4.10290739437736,34.44765729882428,69.47412366823454,2023,0.5015002017748127
field_006,42.037581243486734,-93.15768291267743,197.37638446522175,7.210921168022015,2.2182890190925804,33.49647390677411,70.32617266455023,2023,0.8771226546408168
field_007,42.40603791779036,-93.92705210070564,173.02304187458725,6.907315718760048,4.465580177871068,27.473481017431975,67.42470503634729,2023,0.7089686224673881
field_008,41.72725920475859,-92.0635831122785,135.91576842195144,6.448347658174651,4.1187266814694885,29.505441353100935,67.69243230949381,2023,0.45275173434204563
field_009,42.94356416544192,-93.46866796177885,166.27680130757895,5.695668321302003,2.2440463419256993,26.29159415151495,68.77284163104622,2023,0.6623874375999499
field_010,42.924894589884225,-91.17862424694125,136.09746921562612,6.4832317502336645,2.2545131422555755,34.54051027258723,65.20071197777726,2023,0.45400633506027566
field_011,41.50356459165073,-91.13821426899224,136.02810739289228,6.446943541561131,4.959918735503527,31.0617463445088,68.22079165583179,2023,0.4535274081890181
field_012,41.99449701178477,-91.25540682933865,157.25886814698103,5.846403739820031,3.122812387268361,27.286428055034627,67.11448006996545,2023,0.6001207562529642
field_013,41.60175661963354,-92.88952389923367,92.60159266026606,6.367703298475946,3.111926441200673,31.717006844058567,68.27497352177915,2023,0.153677663606599
field_014,41.56968098875493,-93.9536301504134,98.25246502460902,6.297009468794747,4.438398701772508,31.18128240457896,66.19762131819252,2023,0.19269559183658605
field_015,41.07377389470906,-91.21504431223683,133.1313741227708,6.731700196104433,4.841745732151576,28.581627180328404,73.90527280739894,2023,0.43352615465722705
field_016,42.219128667959794,-92.71544755504806,119.61506638996728,6.770187301735287,4.958003191468613,26.135575921996292,70.9359245355405,2023,0.34019926793072647
field_017,42.00535804645772,-91.100035542869,159.42741997785822,5.590608019544089,4.260134555776824,31.715731955927996,71.79102319144489,2023,0.6150940903233069
field_018,41.102957502499976,-91.10914006873224,122.75927773436368,6.249225229252943,3.128778756592747,30.203077009037933,72.89171238607338,2023,0.3619092986420349
field_019,41.557292928473224,-91.44097163359793,107.63088895994125,6.751719831428472,2.2505021500960063,32.723183917356394,69.98442198929057,2023,0.25745137615197533
field_020,42.816531771933306,-93.11665332379124,193.96946306764661,6.506272517160175,4.3314407477823105,30.201635011119933,65.86920288087424,2023,0.853598673562322
field_021,41.479123781333946,-92.84470681419423,143.22671098540394,7.212979682376645,3.6752127492074154,33.5218150031854,70.37106541818548,2023,0.5032320520420748
field_022,41.28978974418244,-91.44658998544944,152.02584614063773,6.81738726323789,3.2726660277409287,30.519068387744856,70.8684111802088,2023,0.5639879852567842
